Disease,Symptom1,Symptom2,Symptom3,Symptom4,Causes,Medicines,Diets,Workout,Precaution1,Precaution2,Precaution3,Precaution4
Chickenpox,Itchy rash,Fever,Fatigue,Blisters,Varicella-zoster virus infection,"  [""Acyclovir"", ""Calamine Lotion"", ""Paracetamol""] ","Soft foods, vitamin A-rich fruits, plenty of fluids","Low-impact aerobics, Pilates, Tai Chi",Avoid scratching blisters,Stay isolated to prevent spreading,Keep skin clean,Wear loose clothing
Cholecystitis,Abdominal pain,Nausea,Vomiting,Fever,"Gallstones blocking bile ducts, infections","[""Ceftriaxone"", ""Metronidazole"", ""Pain Relievers""] ","Low-fat meals, fiber-rich foods, lean proteins","Side steps, Arm presses, Breathing stretches",Follow low-fat diet,Avoid heavy meals,Stay hydrated,Seek timely surgery if advised
Chronic Bronchitis,Chronic cough,Sputum production,Fatigue,Breathlessness,"Long-term smoking, air pollution, infections"," [""Tiotropium"", ""Salmeterol"", ""Prednisone""] ","Warm soups, vitamin C-rich fruits, whole grains","Leg lifts, Core strengthening, Seated leg extensions",Quit smoking,Wear masks in polluted areas,Stay hydrated,Take medications regularly
Chronic Cholestasis,Jaundice,Fatigue,Itching,Dark urine,"Bile flow obstruction (gallstones, tumors, liver diseases)"," [""Ursodeoxycholic Acid"", ""Cholestyramine"", ""Vitamin Supplements""] ","Low-fat diet, fiber-rich foods, fresh vegetables","Light dance movements, Resistance band pulls, Gentle stretching",Follow a low-fat diet,Stay hydrated,Take prescribed medications,Avoid alcohol
Chronic Fatigue Syndrome,Fatigue,Memory issues,Muscle pain,Sleep disturbances,"Unknown; viral infections, stress, immune system issues suspected","[""Amitriptyline"", ""Pain Relievers"", ""Cognitive Therapy""] ","Complex carbs, omega-3-rich foods, hydration drinks","Breathing exercises, Gentle walking, Relaxation techniques",Maintain consistent sleep schedule,Engage in light physical activities,Manage stress,Avoid overexertion
Common Cold,Sneezing,Runny nose,Sore throat,Cough,"Rhinoviruses, other respiratory viruses"," [""Paracetamol"", ""Cetirizine"", ""Decongestants""] ","Citrus fruits, warm broths, ginger tea","Side steps, Arm presses, Breathing stretches",Rest adequately,Drink warm fluids,Practice good hygiene,Use tissues while sneezing
Conjunctivitis,Redness in eye,Discharge,Itching,Swelling,"Viruses, bacteria, allergens, irritants"," [""Tobramycin Eye Drops"", ""Artificial Tears"", ""Antihistamine Eye Drops""] ","Vitamin A-rich foods, leafy greens, citrus fruits","Side steps, Arm presses, Breathing stretches",Wash hands frequently,Avoid touching eyes,Use prescribed eye drops,Disinfect personal items
Coronary Artery Disease,Chest pain,Shortness of breath,Fatigue,Palpitations,"Plaque buildup, high cholesterol, hypertension, smoking","  [""Aspirin"", ""Atorvastatin"", ""Metoprolol""] ","Low-sodium meals, whole grains, omega-3-rich fish","Walking, Stretching, Breathing exercises",Eat a heart-healthy diet,Exercise regularly,Avoid smoking,Monitor cholesterol levels
Crohn’s Disease,Diarrhea,Abdominal pain,Weight loss,Fatigue,"Autoimmune response, genetics, environmental factors"," [""Mesalamine"", ""Azathioprine"", ""Infliximab""] ","Low-fiber foods during flare-ups, lean proteins, lactose-free options","Balance board exercises, Glute bridges, Bird-dogs",Follow a low-residue diet,Stay hydrated,Manage stress,Take medications as prescribed
Cystic Fibrosis,Persistent cough,Lung infections,Fatigue,Poor growth,Genetic mutation affecting mucus and sweat glands,"   [""Dornase Alfa"", ""Pancreatic Enzymes"", ""Bronchodilators""] ","High-calorie foods, healthy fats, salt-enriched meals","Back stretches, Side leg raises, Core stability exercises",Perform chest physiotherapy,Maintain high-calorie diet,Stay active,Follow respiratory treatments
Deep Vein Thrombosis,Leg swelling,Pain,Warmth,Redness,"Blood clots from immobility, surgery, trauma, clotting disorders","   [""Warfarin"", ""Enoxaparin"", ""Apixaban""] ","Leafy greens, omega-3 sources, whole grains","Balance board exercises, Glute bridges, Bird-dogs",Stay active,Wear compression stockings,Avoid prolonged immobility,Stay hydrated
Dengue,High fever,Severe headache,Joint/muscle pain,Rash,Dengue virus spread by Aedes mosquitoes,"   [""Paracetamol"", ""IV Fluids"", ""Electrolyte Solutions""] ","Papaya leaf juice, citrus fruits, hydration drinks","Light Yoga, Deep breathing, Meditation",Use mosquito repellents,Wear long-sleeved clothing,Avoid mosquito breeding areas,Stay hydrated
Dermatitis,Itching,Redness,Swelling,Skin irritation,"Allergens, irritants, genetic factors, immune response"," [""Hydrocortisone Cream"", ""Antihistamines"", ""Moisturizers""] ","Vitamin E-rich foods, anti-inflammatory diets, fresh fruits","Swimming, Stationary cycling, Resistance band exercises",Use gentle skin products,Keep skin moisturized,Use prescribed creams,Wear protective clothing
Diabetes,Increased thirst,Frequent urination,Fatigue,Blurred vision,Type 1: Autoimmune destruction of insulin cells; Type 2: Insulin resistance," [""Metformin"", ""Insulin"", ""Glimepiride""] ","Low-sugar foods, whole grains, high-fiber vegetables","Strength training with light weights, Balance exercises, Stretching",Monitor blood sugar levels,Follow a balanced diet,Exercise regularly,Take medications as prescribed
Dimorphic Hemorrhoids (Piles),Pain during bowel movements,Bleeding,Swelling,Discomfort,"Straining during bowel movements, chronic constipation"," [""Daflon"", ""Lidocaine Cream"", ""Pain Relievers""] ","High-fiber foods, plenty of water, soft fruits","Light dance movements, Resistance band pulls, Gentle stretching",Eat high-fiber foods,Drink plenty of water,Avoid straining during bowel movements,Engage in regular exercise
Diverticulitis,Abdominal pain,Bloating,Fever,Nausea,Inflammation/infection of diverticula in colon," [""Ciprofloxacin"", ""Metronidazole"", ""Pain Relievers""] ","Low-fiber (during flare-up), high-fiber (post-recovery), clear broths","Low-impact aerobics, Pilates, Tai Chi",Follow a low-fiber diet initially,Stay hydrated,Avoid smoking,Resume high-fiber diet after healing
Drug Reaction,Rash,Itching,Swelling,Breathing difficulty,Allergic or toxic response to medications,"  [""Antihistamines"", ""Corticosteroids"", ""Epinephrine (in emergencies)""] ","Antioxidant-rich fruits, hydration drinks, mild foods","Flexibility exercises, Aquatic therapy, Gentle cycling",Discontinue suspected drug,Consult doctor immediately,Carry allergy information,Monitor for severe symptoms
Eczema,"Red, itchy skin",Flaking,Cracks,Inflammation,"Genetic factors, allergens, stress, irritants","  [""Tacrolimus"", ""Hydrocortisone Cream"", ""Antihistamines""] ","Omega-3-rich foods, probiotic yogurt, vitamin E-rich meals","Back stretches, Side leg raises, Core stability exercises",Keep skin moisturized,Avoid known triggers,Use prescribed creams,Wear soft fabrics
Endometriosis,Pelvic pain,Heavy periods,Painful intercourse,Fatigue,Abnormal growth of uterine tissue outside the uterus,"    [""Ibuprofen"", ""Gonadotropin-Releasing Hormone Agonists"", ""Oral Contraceptives""] ","Anti-inflammatory foods, leafy greens, omega-3 sources","Walking, Stretching, Breathing exercises",Use heat packs for pain relief,Maintain a healthy weight,Follow doctor‚Äôs treatment plan,Practice stress-relief activities
Epilepsy,Seizures,Confusion,Loss of consciousness,Muscle jerks,"Brain injury, genetics, infections, unknown causes"," [""Valproate"", ""Carbamazepine"", ""Lamotrigine""] ","Ketogenic diet, vitamin D-rich foods, leafy greens","Strength training with light weights, Balance exercises, Stretching",Take medications on time,Avoid triggers (like flashing lights),Get adequate sleep,Wear medical alert identification
Fibromyalgia,Widespread pain,Fatigue,Sleep disturbances,Memory issues,"Unknown; stress, genetics, infections suspected","   [""Pregabalin"", ""Duloxetine"", ""Pain Relievers""] ","Magnesium-rich foods, anti-inflammatory meals, fresh fruits","Arm circles, Shoulder shrugs, Neck rotations",Engage in regular low-impact exercises,Get quality sleep,Manage stress,Follow prescribed treatments
Fungal Infection,"Red, itchy rash",Cracking,Peeling skin,Itching,"Overgrowth of fungi (yeast, dermatophytes)"," [""Clotrimazole"", ""Fluconazole"", ""Terbinafine""] ","Probiotic foods, garlic, antioxidant-rich fruits","Walking, Stretching, Breathing exercises",Keep affected area dry,Wear breathable clothing,Use antifungal creams,Maintain personal hygiene
GERD,Heartburn,Regurgitation,Chest pain,Difficulty swallowing,"Weak lower esophageal sphincter, obesity, certain foods"," [""Omeprazole"", ""Ranitidine"", ""Pantoprazole""] ","Non-spicy meals, lean proteins, oatmeal","Arm circles, Shoulder shrugs, Neck rotations",Avoid spicy and fatty foods,Eat small frequent meals,Elevate head while sleeping,Avoid lying down after eating
Gallstones,Right upper abdominal pain,Nausea,Vomiting,Indigestion,Cholesterol or bilirubin crystallization in gallbladder,"   [""Ursodeoxycholic Acid"", ""Pain Relievers"", ""Antibiotics (if infection)""] ","Low-fat meals, fiber-rich foods, fresh vegetables","Walking, Stretching, Breathing exercises",Maintain healthy weight,Eat low-fat meals,Stay active,Follow doctor‚Äôs recommendations
Gastritis,Burning stomach pain,Nausea,Bloating,Vomiting,"H. pylori infection, NSAIDs, alcohol, stress"," [""Pantoprazole"", ""Sucralfate"", ""Antacids""] ","Soft foods, non-acidic fruits, whole grains","Light Yoga, Deep breathing, Meditation",Avoid spicy and acidic foods,Eat smaller meals,Reduce stress,Avoid NSAIDs without prescription
Gastroenteritis,Diarrhea,Vomiting,Abdominal cramps,Fever,"Viral (norovirus), bacterial (E. coli), or parasitic infections","   [""ORS"", ""Ondansetron"", ""Ciprofloxacin""] ","BRAT diet, clear liquids, broth","Knee strengthening, Hip stretches, Low-impact cardio",Stay hydrated,Eat bland foods,Maintain hygiene,Rest adequately
Glaucoma,Eye pain,Blurred vision,Halos around lights,Nausea,"Increased eye pressure, genetics, aging","   [""Timolol Eye Drops"", ""Latanoprost"", ""Acetazolamide""] ","Leafy greens, omega-3-rich foods, vitamin A-rich fruits","Wall sits, Calf raises, Wrist stretches",Take prescribed eye drops,Regular eye checkups,Wear protective eyewear,Manage blood pressure
Gout,Joint pain,Redness,Swelling,Warmth,Excess uric acid forming crystals in joints," [""Allopurinol"", ""Colchicine"", ""Indomethacin""] ","Low-purine foods, cherries, hydration drinks","Foam rolling, Gentle jogging, Seated marches",Limit alcohol and purine-rich foods,Stay hydrated,Maintain healthy weight,Follow prescribed medications
Heart Attack,Chest pain,Sweating,Nausea,Shortness of breath,Coronary artery blockage from plaque rupture or clots,"   [""Aspirin"", ""Clopidogrel"", ""Atorvastatin""] ","Low-fat meals, whole grains, omega-3 sources","Wall sits, Calf raises, Wrist stretches",Avoid smoking,Eat heart-friendly foods,Manage stress,Follow doctor‚Äôs advice
Heat Exhaustion,Heavy sweating,Dizziness,Weakness,Headache,"Prolonged exposure to heat, dehydration"," [""Electrolyte Solutions"", ""IV Fluids"", ""Cooling Measures""] ","Hydration drinks, fruits with high water content, electrolytes","Arm circles, Shoulder shrugs, Neck rotations",Stay hydrated,Wear light clothing,Avoid extreme heat exposure,Rest in cool places
Hemophilia,Easy bruising,Prolonged bleeding,Joint swelling,Fatigue,Genetic mutation affecting blood clotting factors,"[""Factor VIII Concentrates"", ""Desmopressin"", ""Antifibrinolytics""] ","Vitamin K-rich foods, lean proteins, fresh fruits","Flexibility exercises, Aquatic therapy, Gentle cycling",Avoid injuries,Wear protective gear,Follow treatment plan,Inform healthcare providers
Hepatitis A,Fever,Fatigue,Jaundice,Abdominal pain,Hepatitis A virus (contaminated food/water)," [""Rest"", ""Hydration"", ""Pain Relievers (Avoid NSAIDs)""] ","High-calorie diet, soft fruits, whole grains","Light Yoga, Deep breathing, Meditation",Maintain hand hygiene,Avoid contaminated food and water,Get vaccinated,Rest adequately
Hepatitis B,Fatigue,Joint pain,Dark urine,Jaundice,"Hepatitis B virus (blood, sexual contact)"," [""Entecavir"", ""Tenofovir"", ""Interferon Alfa""] ","Balanced meals, high-protein foods, fresh vegetables","Back stretches, Side leg raises, Core stability exercises",Practice safe sex,Get vaccinated,Avoid sharing personal items,Regular liver monitoring
Hepatitis C,Fatigue,Nausea,Jaundice,Abdominal discomfort,Hepatitis C virus (bloodborne transmission),"    [""Sofosbuvir"", ""Ledipasvir"", ""Ribavirin""] ","High-fiber foods, lean proteins, antioxidant-rich fruits","Knee strengthening, Hip stretches, Low-impact cardio",Avoid sharing needles,Practice safe sex,Follow medical advice,Regular liver monitoring
Hepatitis D,Abdominal pain,Jaundice,Fatigue,Dark urine,Hepatitis D virus (requires Hepatitis B infection),"   [""Peginterferon Alfa"", ""Antiviral Therapy"", ""Supportive Care""] ","Low-fat meals, fresh fruits, hydration drinks","Back stretches, Side leg raises, Core stability exercises",Get vaccinated,Follow doctor‚Äôs treatment,Maintain liver health,Maintain good hygiene
Hepatitis E,Fever,Nausea,Jaundice,Loss of appetite,Hepatitis E virus (contaminated food/water)," [""Rest"", ""Hydration"", ""Vitamin Supplements""] ","High-energy foods, soft vegetables, plenty of fluids","Walking, Stretching, Breathing exercises",Drink clean water,Avoid undercooked meat,Practice hand hygiene,Rest adequately
Herniated Disc,Back pain,Numbness,Muscle weakness,Leg pain,"Injury, heavy lifting, aging, disc degeneration"," [""Ibuprofen"", ""Muscle Relaxants"", ""Gabapentin""] ","Calcium-rich foods, omega-3-rich meals, vitamin D sources","Foam rolling, Gentle jogging, Seated marches",Maintain proper posture,Avoid heavy lifting,Perform back-strengthening exercises,Follow doctor‚Äôs advice
Herpes Zoster (Shingles),Painful rash,Burning sensation,Tingling,Itching,Reactivation of varicella-zoster virus," [""Acyclovir"", ""Valacyclovir"", ""Pain Relievers""] ","Vitamin B12-rich foods, antioxidant-rich fruits, lean proteins","Arm circles, Shoulder shrugs, Neck rotations",Keep rash covered,Avoid scratching,Use prescribed medications,Maintain hygiene
Hodgkins Lymphoma,Swollen lymph nodes,Fatigue,Fever,Night sweats,"Genetic mutations, Epstein-Barr virus (EBV) infection","  [""ABVD Chemotherapy"", ""Prednisone"", ""Rituximab""] ","Protein-rich meals, soft foods, fresh fruits","Arm circles, Shoulder shrugs, Neck rotations",Follow treatment plan,Maintain balanced diet,Manage stress,Attend regular checkups
Hyperlipidemia,High cholesterol,Fatigue,Chest pain,Xanthomas,"High-fat diet, genetics, obesity, sedentary lifestyle"," [""Atorvastatin"", ""Rosuvastatin"", ""Ezetimibe""] ","Low-fat foods, oats, omega-3 sources","Light Yoga, Deep breathing, Meditation",Eat low-fat foods,Exercise regularly,Avoid smoking,Monitor cholesterol levels
Hypertension,Headaches,Dizziness,Nosebleeds,Vision problems,"High salt intake, stress, obesity, genetics"," [""Amlodipine"", ""Losartan"", ""Hydrochlorothiazide""] ","Low-sodium meals, leafy greens, potassium-rich foods","Low-impact aerobics, Pilates, Tai Chi",Reduce salt intake,Maintain healthy weight,Exercise regularly,Take medications as prescribed
Hyperthyroidism,Nervousness,Weight loss,Rapid heartbeat,Sweating,"Autoimmune diseases (Graves’), thyroid nodules","  [""Methimazole"", ""Propylthiouracil"", ""Beta-Blockers""] ","Cruciferous vegetables, dairy, whole grains","Light dance movements, Resistance band pulls, Gentle stretching",Follow prescribed treatment,Limit iodine-rich foods,Regular checkups,Manage stress
Hypoglycemia,Shakiness,Sweating,Confusion,Hunger,"Excess insulin, skipping meals, medications","[""Glucose Tablets"", ""Glucagon Injection"", ""Juice (Immediate Relief)""] ","Complex carbs, fresh fruits, protein-rich snacks","Flexibility exercises, Aquatic therapy, Gentle cycling",Carry glucose tablets or snacks,Eat regular meals,Monitor blood sugar levels,Avoid alcohol
Hypothyroidism,Fatigue,Weight gain,Cold intolerance,Depression,"Autoimmune diseases (Hashimoto’s), iodine deficiency","    [""Levothyroxine"", ""Calcium Supplements"", ""Vitamin D""] ","Iodine-rich foods, lean meats, selenium-rich foods","Breathing exercises, Gentle walking, Relaxation techniques",Take medications regularly,Follow a balanced diet,Regular thyroid tests,Stay active
Impetigo,Red sores,Itching,Blisters,Skin crusting,"Bacterial infections (Staphylococcus, Streptococcus)","    [""Mupirocin Ointment"", ""Cephalexin"", ""Clindamycin""] ","Vitamin A-rich foods, hydration drinks, fresh vegetables","Light dance movements, Resistance band pulls, Gentle stretching",Keep affected area clean,Avoid sharing personal items,Use prescribed creams,Maintain good hygiene
Indigestion,Bloating,Upper abdominal pain,Nausea,Heartburn,"Overeating, fatty foods, stress, GERD"," [""Antacids"", ""Ranitidine"", ""Omeprazole""] ","Light meals, ginger tea, oatmeal","Balance board exercises, Glute bridges, Bird-dogs",Eat slowly,Avoid overeating,Limit fatty and spicy foods,Manage stress
Infectious Mononucleosis,Fatigue,Sore throat,Swollen lymph nodes,Fever,Epstein-Barr virus infection,"  [""Acetaminophen"", ""Ibuprofen"", ""Supportive Care""] ","Soft foods, hydration drinks, vitamin-rich fruits","Seated yoga poses, Pelvic tilts, Gentle swimming",Rest adequately,Stay hydrated,Avoid sharing utensils,Avoid strenuous activities
Influenza,Fever,Chills,Body aches,Sore throat,Influenza virus infection,"   [""Oseltamivir"", ""Paracetamol"", ""Ibuprofen""] ","Warm broths, citrus fruits, soft grains","Leg lifts, Core strengthening, Seated leg extensions",Get vaccinated,Wash hands regularly,Stay home when sick,Use tissues while sneezing
Interstitial Cystitis,Bladder pain,Frequent urination,Pelvic discomfort,Urgency,"Unknown; bladder lining defects, autoimmune factors"," [""Pentosan Polysulfate"", ""Amitriptyline"", ""Antihistamines""] ","Non-acidic fruits, whole grains, lean proteins","Brisk walking, Elliptical training, Gentle yoga",Avoid trigger foods,Stay hydrated,Follow doctor‚Äôs treatment plan,Manage stress
Iron Deficiency,Fatigue,Weakness,Pale skin,Dizziness,"Poor diet, blood loss, poor absorption","  [""Ferrous Sulfate"", ""Iron Polysaccharide"", ""Vitamin C (for absorption)""] ","Iron-rich foods, vitamin C sources, lean meats","Low-impact aerobics, Pilates, Tai Chi",Eat iron-rich foods,Stay hydrated,Avoid tea and coffee with meals,Pair iron intake with vitamin C
Iron Deficiency Anemia,Fatigue,Weakness,Pale complexion,Shortness of breath,"Chronic blood loss, inadequate iron intake"," [""Ferrous Gluconate"", ""Ferrous Fumarate"", ""Iron Dextran (IV)""] ","Spinach, fortified cereals, citrus fruits","Low-impact aerobics, Pilates, Tai Chi",Consume iron-rich foods,Take supplements if prescribed,Follow a balanced diet,Attend regular doctor visits
Jaundice,Yellowing of skin,Fatigue,Dark urine,Itching,"Liver diseases, bile duct obstruction, hemolysis","   [""Supportive Care"", ""Vitamin Supplements"", ""Ursodeoxycholic Acid""] ","High-carb meals, soft fruits, plenty of fluids","Walking, Stretching, Breathing exercises",Avoid alcohol,Take iron supplements,Stay hydrated,Eat balanced diet
Lupus (SLE),Joint pain,Fatigue,Rash,Fever,Autoimmune response affecting multiple organs,"[""Hydroxychloroquine"", ""Prednisone"", ""Methotrexate""] ","Omega-3-rich foods, fresh fruits, whole grains","Wall sits, Calf raises, Wrist stretches",Use sun protection,Follow prescribed medications,Manage stress,Regular doctor visits 
Major Depressive Disorder,Persistent sadness,Fatigue,Sleep issues,Loss of interest,"Genetic, biochemical, environmental factors","   [""Fluoxetine"", ""Sertraline"", ""Escitalopram""] ","Omega-3-rich meals, complex carbs, fresh fruits","Light dance movements, Resistance band pulls, Gentle stretching",Seek professional help,Manage stress,Engage in physical activities,Stay connected with support systems
Malaria,High fever,Chills,Sweating,Muscle pain,Plasmodium parasite via Anopheles mosquito bites,"  [""Artemisinin-Based Combination Therapy"", ""Chloroquine"", ""Mefloquine""] ","High-calorie foods, citrus fruits, hydration drinks","Strength training with light weights, Balance exercises, Stretching",Use mosquito repellents,Maintain regular routine,Take antimalarial medications,Wear long sleeved clothing
Measles,Fever,Rash,Cough,Runny nose,Measles virus (highly contagious),"   [""Vitamin A"", ""Paracetamol"", ""Supportive Care""] ","Vitamin A-rich foods, soft meals, hydration drinks","Walking, Stretching, Breathing exercises",Get vaccinated,Sleep under mosquito nets,Maintain hygiene,Rest adequately
Meningitis (Bacterial),Neck stiffness,Severe headache,Fever,Nausea,"Bacterial infections (Neisseria meningitidis, Streptococcus pneumoniae)","    [""Ceftriaxone"", ""Vancomycin"", ""Ampicillin""] ","High-protein foods, easy-to-digest meals, fluids","Light Yoga, Deep breathing, Meditation",Get vaccinated,Stay isolated to prevent spread,Seek immediate medical attention,Avoid sharing personal items 
Menstrual Cramps,Lower abdominal cramps,Nausea,Headache,Diarrhea,"Prostaglandin overproduction, uterine contractions","  [""Ibuprofen"", ""Naproxen"", ""Oral Contraceptives""] ","Iron-rich foods, herbal teas, complex carbs","Wall sits, Calf raises, Wrist stretches",Use heat therapy,Practice good hygiene,Stay hydrated,Rest adequately
Migraine,Throbbing headache,Nausea,Sensitivity to light,Aura,"Genetic factors, stress, hormonal changes, triggers (foods, light)","    [""Sumatriptan"", ""Ibuprofen"", ""Propranolol""] ","Magnesium-rich foods, hydration drinks, omega-3-rich fish","Side steps, Arm presses, Breathing stretches",Avoid known triggers,Stay active,Stay hydrated,Rest adequately
Morning Sickness,Nausea,Vomiting,Fatigue,Food aversions,Pregnancy-related hormonal changes,"  [""Vitamin B6"", ""Doxylamine"", ""Ginger Supplements""] ","Ginger-based foods, small frequent meals, dry crackers","Lunges, Squats (if advised), Heel-to-toe walks",Eat small frequent meals,Maintain regular sleep schedule,Stay hydrated,Rest adequately
Motion Sickness,Nausea,Dizziness,Sweating,Vomiting,Sensory conflict between eyes and inner ear,"  [""Dimenhydrinate"", ""Meclizine"", ""Scopolamine Patches""] ","Light snacks, ginger tea, hydration drinks","Light Yoga, Deep breathing, Meditation",Look at the horizon during travel,Avoid strong odors,Use motion sickness bands,Take medications as prescribed
Multiple Sclerosis,Numbness,Vision problems,Weakness,Balance issues,Autoimmune attack on nervous system myelin,"    [""Interferon Beta"", ""Glatiramer Acetate"", ""Fingolimod""] ","Omega-3-rich foods, vitamin D-rich meals, fresh fruits","Low-impact aerobics, Pilates, Tai Chi",Stay active,Eat light meals before traveling,Follow medication plan,Avoid overheating
Muscle Overuse,Soreness,Swelling,Pain,Fatigue,"Repetitive strain, excessive exercise","   [""Ibuprofen"", ""Acetaminophen"", ""Topical Analgesics""] ","Protein-rich foods, hydration drinks, fresh vegetables","Strength training with light weights, Balance exercises, Stretching",Rest affected muscles,Manage stress,Perform gentle stretches,Avoid sudden movements
Muscle Strain,Muscle stiffness,Pain,Limited movement,Swelling,Overstretching or tearing of muscle fibers,"   [""Pain Relievers"", ""Muscle Relaxants"", ""Ice/Heat Therapy""] ","Anti-inflammatory foods, protein-rich meals, hydration","Arm circles, Shoulder shrugs, Neck rotations",Rest injured area,Apply ice packs,Perform gentle stretches,Avoid sudden movements
